Make,Model,Year of manufacture,Colour,Condition,Mileage,Engine Size,Bought Condition,Price,Registered state
Toyota,Highlander,2004.0,Black,Nigerian Used,183260.0,3300.0,Registered,2688000.0,lagos
Audi,Q7,2010.0,Brown,Nigerian Used,246248.0,3600.0,Imported,9562500.0,lagos
GMC,Terrain,2013.0,Black,Nigerian Used,36662.0,3500.0,Registered,16800000.0,unknown
Toyota,Camry,2006.0,Gray,Foreign Used,185234.0,2400.0,Imported,3150000.0,unknown
Toyota,Corolla,2016.0,Teal,Foreign Used,240486.0,1800.0,Imported,10400000.0,unknown
Toyota,Camry,2006.0,Silver,Nigerian Used,230061.0,2400.0,Registered,3093750.0,unknown
Hyundai,Elantra,2014.0,Black,Nigerian Used,93034.0,1600.0,Registered,4500000.0,lagos
Lexus,NX,2015.0,Silver,Foreign Used,177749.0,2000.0,Imported,30937500.0,unknown
Hyundai,I10,2012.0,Black,Nigerian Used,226118.0,1100.0,Registered,1575000.0,abuja
Toyota,Corolla,2009.0,Silver,Nigerian Used,146766.0,1800.0,Registered,4160000.0,lagos
Toyota,Camry,2004.0,Gray,Nigerian Used,387208.0,3000.0,Registered,3375000.0,lagos
Volkswagen,Jetta,2005.0,Silver,Nigerian Used,210658.0,2000.0,Registered,1575000.0,lagos
Toyota,Camry,2004.0,Blue,Nigerian Used,461400.0,2400.0,Registered,1575000.0,lagos
Toyota,Camry,2003.0,Silver,Nigerian Used,241587.0,2400.0,Registered,2700000.0,unknown
Mercedes-Benz,C300,2012.0,Black,Nigerian Used,237157.0,3000.0,Imported,7592000.0,abuja
Lexus,RX 330,2006.0,Silver,Nigerian Used,17444.0,3000.0,Registered,3990000.0,lagos
Mercedes-Benz,C300,2012.0,Black,Nigerian Used,110579.0,3000.0,Registered,4410000.0,unknown
Kia,Rio,2012.0,White,Nigerian Used,110444.0,1200.0,Brand new,1365000.0,lagos
Toyota,Sienna,2005.0,Red,Nigerian Used,427744.0,3300.0,Imported,2250000.0,lagos
Toyota,Venza,2011.0,Silver,Foreign Used,155365.0,3500.0,Imported,10125000.0,unknown
Ford,Edge,2008.0,Gray,Nigerian Used,235998.0,3500.0,Registered,2581875.0,abuja
Honda,Pilot,2013.0,Blue,Foreign Used,214273.0,3500.0,Imported,6300000.0,unknown
Toyota,Camry,2005.0,Green,Nigerian Used,203093.0,3300.0,Registered,2100000.0,abuja
Ford,Escape,2005.0,Black,Nigerian Used,167701.0,3000.0,Imported,2475000.0,lagos
Toyota,Corolla,2004.0,Silver,Nigerian Used,320060.0,1800.0,Registered,2100000.0,lagos
Peugeot,508,2015.0,Brown,Nigerian Used,175414.0,2200.0,Brand new,8400000.0,nasarawa
Peugeot,407,2002.0,Gray,Nigerian Used,99999.0,2200.0,Imported,2520000.0,unknown
Toyota,Camry,2004.0,Gold,Nigerian Used,247831.0,3300.0,Registered,1890000.0,lagos
Mazda,MPV,2001.0,Silver,Nigerian Used,345277.0,2500.0,Imported,1155000.0,lagos
Peugeot,206,2003.0,Green,Nigerian Used,202521.0,1600.0,Registered,798000.0,kaduna
Lexus,RX 400h,2006.0,White,Nigerian Used,352770.0,3300.0,Imported,3150000.0,unknown
Toyota,Sienna,2005.0,Blue,Nigerian Used,196031.0,3300.0,Imported,2310000.0,lagos
